,site.latitude,site.longitude,iron.LCOE,iron.LCOH,state,rate
392,40.787,-86.032,58.56400898,7.46717362,IN,8.95
393,44.058,-94.688,49.28794319,6.886392673,MN,9.3
394,40.988,-92.13,51.34739551,6.770451172,IA,6.36
395,42.727,-89.024,52.79106223,6.636289411,WI,8.64
396,42.335,-91.451,50.02971856,6.64395281,IA,6.36
397,38.392,-88.5,57.86180863,8.146670896,IL,9.96
398,44.244,-90.231,58.69672689,7.387475541,WI,8.64
399,43.469,-97.73,49.2252985,7.077334545,SD,8.67
400,38.105,-94.806,49.62168947,6.735856204,KS,8.26
401,41.24,-85.519,53.29636267,7.026106974,IN,8.95
402,39.257,-77.09,60.22997497,9.200428081,MD,12.47
403,45.223,-83.711,57.52598123,7.826185595,MI,8.46
404,39.81,-80.704,67.00045585,10.15581671,WV,8.27
405,41.678,-89.583,55.79017964,6.832162938,IL,9.96
406,44.798,-83.331,54.87854293,7.561422057,MI,8.46
407,42.005,-94.139,49.88206057,6.378900585,IA,6.36
408,46.403,-95.749,52.06006614,7.195805009,MN,9.3
409,42.398,-97.551,46.90093765,6.288824149,NE,7.5
410,39.842,-80.116,62.94558708,9.712343181,PA,10.2
411,39.696,-89.064,55.44977196,7.190966362,IL,9.96
412,44.743,-96.839,47.21764232,6.278164547,SD,8.67
413,41.431,-95.915,51.94359975,6.900670444,IA,6.36
414,41.059,-88.915,56.09943255,7.088687211,IL,9.96
415,38.728,-75.52,55.35219581,8.633813323,DE,9.48
416,39.353,-90.096,58.12244541,7.782775604,IL,9.96
417,45.818,-95.751,48.45444571,6.964379638,MN,9.3
418,41.765,-83.501,57.41290156,8.084847126,MI,8.46
419,41.709,-90.317,58.05576703,6.956987333,IA,6.36
420,41.223,-88.31,59.46589028,7.512207926,IL,9.96
421,45.123,-97.934,50.41654986,7.879679239,SD,8.67
422,45.997,-84.822,56.78066617,7.904179107,MI,8.46
423,39.098,-75.981,57.48469268,8.606059271,MD,12.47
